bar,timestamp,close,sma,ema,rsi,macd,macd_signal,macd_histogram,atr,vwap,roc,cci,vwap_status
101,2023-05-19T10:56:00,523.1,520.895,517.3843941199233,53.18307777669803,0.8802239446761178,1.3882732221791607,-0.508049277503043,16.638003973377714,,-0.3808798324128726,-8.50947785532167,missing_volume
102,2023-05-19T10:57:00,522.95,522.27,517.9144518227878,53.105404442809984,1.2412356500456099,1.3588657077524506,-0.11763005770684076,16.23886083242216,,-1.9131576479414658,-4.811498873255556,missing_volume
103,2023-05-19T10:58:00,510.35,522.665,517.1940278396652,46.90800597288871,0.5048062380126339,1.1880538138044874,-0.6832475757918535,16.65394220153486,,-1.0086315585297156,-69.31964056482569,missing_volume
104,2023-05-19T10:59:00,506.0,522.2425000000001,516.1279299501732,44.95737532420178,-0.42492969720433393,0.8654571116027231,-1.2903868088070571,16.50366061571094,,-2.099255103027964,-112.53725068318708,missing_volume
105,2023-05-19T11:00:00,502.0,520.1175000000001,514.7824128120615,43.17926487616216,-1.4676011028903986,0.3988454687040987,-1.8664465715944973,16.04268485744587,,-3.6098310291858615,-132.91382088865018,missing_volume
106,2023-05-19T11:01:00,500.1,517.3875,513.3840877823413,42.32299151041899,-2.4193510520417476,-0.1647938354450706,-2.254557216596677,15.800350224771163,,-2.864912110323392,-183.54298039992486,missing_volume
107,2023-05-19T11:02:00,495.3,515.5525,511.66179370783266,40.15646037026214,-3.5203591198721256,-0.8359068923304818,-2.6844522275416436,15.621753780144653,,-4.271356783919589,-151.42736435512077,missing_volume
108,2023-05-19T11:03:00,504.95,513.7225000000001,511.02257525946766,46.127209319057606,-3.5730536559800044,-1.383336245060386,-2.1897174109196182,15.448771367277176,,-1.8752429071123289,-102.78522316746226,missing_volume
109,2023-05-19T11:04:00,503.8,512.6575,510.3347109490422,45.544035183553184,-3.6653578804977656,-1.839740572147862,-1.8256173083499037,14.713144841043091,,-0.9437672040896627,-87.57276039941192,missing_volume
110,2023-05-19T11:05:00,502.55,511.12749999999994,509.59330990627626,44.879849784488,-3.7956206446584133,-2.2309165866499723,-1.564704058008441,14.112205923825728,,-0.7798617966436328,-92.44564866782855,missing_volume
111,2023-05-19T11:06:00,498.4,510.27,508.5272803913928,42.65573102038803,-4.1854775607995975,-2.6218287814798975,-1.5636487793197,13.775619786409607,,-3.5230352303523116,-110.60036216743408,missing_volume
112,2023-05-19T11:07:00,513.45,510.1,508.99611083030777,51.95462423453296,-3.242653463066347,-2.7459937177971874,-0.49665974526915946,14.009504087380353,,-1.2026168943621296,-13.744627866811355,missing_volume
113,2023-05-19T11:08:00,508.4,509.48,508.93933837027845,49.07872244886374,-2.869869301445476,-2.7707688345268453,-0.09910046691863084,13.794539509710328,,-2.81017013955267,-7.997625159341193,missing_volume
114,2023-05-19T11:09:00,515.05,509.48999999999995,509.5213061445376,52.7850541863651,-2.014612544603551,-2.6195375765421867,0.6049250319386354,13.637786687588163,,-1.5106606750167506,27.37445834577191,missing_volume
115,2023-05-19T11:10:00,513.4,509.28999999999996,509.89070555934353,51.77803545620007,-1.4532049710709884,-2.386271055447947,0.9330660843769585,13.674373352760439,,0.5976290780836502,72.66823892788517,missing_volume
116,2023-05-19T11:11:00,504.65,508.7925,509.39159074416796,46.690960077087766,-1.6948006901429835,-2.2479769823869544,0.5531762922439709,13.61548954184898,,-0.266798418972336,3.453223413827659,missing_volume
117,2023-05-19T11:12:00,506.7,508.69750000000005,509.1352487685329,47.980455024566766,-1.7012383539156986,-2.1386292566927034,0.4373909027770049,13.307240288859768,,0.936254980079676,-43.89626818469367,missing_volume
118,2023-05-19T11:13:00,500.25,508.38500000000005,508.2890346001012,44.34581069278305,-2.2014246904450943,-2.1511883434431818,-0.050236347001912485,13.574580268226928,,0.029994001199762366,-62.88851665736126,missing_volume
